GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Operaciones,org.example,OperacionesMatematicas,48,26,2,2,10,7,2,5,1,4
Operaciones,org.example,Main,7,0,0,0,3,0,2,0,2,0
